"Weekly Temperature (deg F, 1981-2010 Base Period)"
"20141129,36.35,23.94,39.08,51.67,30.14,50.01,41.99,41.72,48.88,41.03,1.31,-4.24,-1.39,-0.66,3.76,0.80,4.12,9.44,6.64,2.20"
"20141206,32.56,19.95,40.30,57.06,21.98,50.82,43.64,32.55,48.51,39.44,0.44,-4.70,2.87,6.83,-1.56,4.13,8.09,2.25,8.18,3.17"
"20141213,29.34,28.69,36.24,46.11,36.12,50.35,44.05,41.43,47.93,41.35,-0.09,7.15,1.46,-2.30,14.86,5.74,10.33,12.59,9.07,7.21"
"20141220,32.27,28.75,37.01,47.55,26.44,47.60,35.95,35.00,41.73,37.51,5.17,9.68,4.29,0.57,6.71,4.49,3.40,6.99,3.77,4.90"
"20141227,36.75,32.52,41.56,51.64,26.59,46.62,34.48,35.46,43.40,38.78,11.61,15.31,10.30,5.73,7.69,4.42,2.47,7.66,5.80,7.12"
"20150103,26.32,13.50,30.69,51.24,11.01,35.84,23.45,21.59,33.68,27.38,2.75,-2.47,0.31,6.01,-7.80,-6.04,-8.65,-6.64,-4.12,-3.91"
"20150110,16.34,2.13,19.63,41.75,11.60,32.65,34.62,35.49,46.03,27.07,-6.10,-13.16,-10.36,-3.15,-7.53,-9.32,2.04,6.53,7.74,-4.26"
"20150117,16.53,14.31,27.93,44.23,22.10,39.35,37.21,33.78,44.91,32.22,-5.28,-0.75,-2.04,-0.67,2.55,-2.94,4.09,4.17,6.09,0.65"
"20150124,24.48,28.20,37.06,49.32,31.36,46.01,35.95,34.93,45.06,37.93,2.76,12.91,6.77,4.11,11.34,3.20,2.25,4.77,5.72,5.93"
"20150131,17.24,23.76,32.60,43.53,35.87,50.33,41.73,38.92,47.70,38.99,-4.91,7.78,1.63,-2.30,15.32,6.77,7.38,8.30,7.83,6.38"
"20150207,14.42,11.23,28.46,44.21,25.07,42.99,44.45,41.12,51.48,35.24,-8.64,-5.89,-3.56,-2.54,3.85,-1.53,9.38,10.07,11.03,1.81"
"20150214,16.29,15.97,31.44,46.07,33.01,51.18,46.66,44.11,51.97,39.62,-7.97,-2.71,-1.95,-1.81,10.70,5.45,10.62,12.35,10.77,5.07"
"20150221,6.90,4.15,13.85,34.64,23.67,42.90,41.92,40.17,50.77,31.03,-18.79,-16.51,-21.24,-14.54,-0.20,-4.31,4.63,7.37,8.61,-4.93"
"20150228,12.76,4.72,19.88,43.60,15.46,33.37,32.43,35.97,44.03,27.57,-14.61,-18.35,-17.25,-7.05,-10.47,-15.59,-6.39,1.78,0.70,-10.13"
"20150307,18.61,14.59,28.16,51.56,22.94,41.47,37.02,37.35,44.80,33.89,-10.69,-11.25,-11.28,-0.70,-5.46,-9.46,-3.54,1.53,0.13,-5.81"
"20150314,32.32,40.80,46.67,59.93,44.61,54.71,47.83,47.78,54.42,48.74,0.85,12.01,4.84,6.03,13.71,1.82,5.55,10.41,8.48,7.01"
"20150321,30.34,39.36,47.68,61.59,43.99,58.63,50.62,47.39,57.40,50.03,-3.56,7.51,3.43,6.09,10.63,3.84,6.71,8.64,10.33,6.31"
"20150328,29.27,29.56,43.23,58.53,41.08,59.12,51.54,46.06,55.83,47.90,-7.30,-5.48,-3.46,1.44,5.29,2.47,6.07,6.10,7.75,2.22"
"20150404,36.90,42.30,50.63,60.03,44.35,64.79,53.03,43.52,53.98,51.75,-2.59,3.97,1.48,1.37,6.18,6.35,6.08,2.50,4.98,4.12"
"20150411,40.52,41.49,57.46,67.17,41.74,65.59,51.14,42.72,48.94,52.26,-1.89,-0.09,5.91,6.92,1.21,5.34,2.65,0.60,-1.10,2.67"
"20150418,50.51,52.96,60.16,66.89,47.73,64.88,48.76,45.17,53.99,55.20,5.33,8.34,6.32,4.99,4.85,2.77,-1.45,1.72,2.65,3.61"
"20150425,44.76,41.72,52.73,65.26,45.36,64.20,52.37,48.87,56.09,53.48,-2.99,-5.74,-3.28,1.65,0.13,0.17,0.24,3.87,3.14,-0.16"
"20150502,49.68,50.92,53.63,62.59,51.76,63.08,55.43,51.27,61.28,56.26,-0.49,0.81,-4.42,-2.79,4.19,-2.92,1.20,4.49,6.41,0.52"
"20150509,61.78,59.31,68.55,69.27,50.73,70.95,55.32,52.11,57.46,60.92,9.33,6.70,8.51,2.08,0.85,2.95,-1.14,3.44,0.52,3.06"
"20150516,60.85,52.20,64.84,73.74,49.24,68.76,53.49,51.40,55.36,59.17,6.12,-2.87,2.74,4.76,-2.91,-1.20,-5.20,0.98,-3.57,-0.78"
"20150523,58.22,53.42,62.13,73.63,48.95,68.11,54.19,56.40,56.17,59.24,1.21,-4.08,-2.11,2.86,-5.39,-3.75,-6.71,4.37,-4.66,-2.75"
"20150530,68.02,62.85,71.01,74.70,56.78,72.26,59.54,59.55,64.31,65.37,8.73,2.93,4.55,2.17,0.30,-1.46,-3.57,6.09,1.67,1.37"
"20150606,58.33,59.63,65.87,74.21,62.22,74.94,66.79,60.91,65.56,66.53,-3.20,-2.63,-2.84,-0.05,3.66,-0.55,1.48,6.11,1.20,0.57"
"20150613,66.61,66.01,75.45,77.89,66.53,79.49,67.36,67.27,71.29,71.55,3.06,1.64,4.75,2.12,5.94,2.42,0.03,10.98,5.14,3.76"
"20150620,66.85,64.90,75.94,82.32,63.65,78.76,72.57,64.48,73.87,72.10,1.54,-1.25,3.60,5.30,1.06,0.38,3.40,6.45,5.88,2.64"
"20150627,66.96,67.26,75.36,81.93,68.09,81.03,75.46,69.39,75.95,74.32,0.17,-0.36,1.75,3.95,3.53,1.58,4.63,9.35,6.00,3.34"
"20150704,64.23,65.08,70.63,77.40,72.13,79.62,75.86,76.94,79.72,74.42,-3.75,-3.69,-3.88,-1.28,5.65,-0.63,3.58,14.66,7.75,2.10"
"20150711,69.84,66.13,72.92,80.28,66.66,79.43,69.79,70.36,71.03,72.31,0.95,-3.47,-2.22,1.11,-1.45,-1.45,-3.60,6.08,-2.66,-1.09"
"20150718,68.93,71.54,77.44,81.24,70.31,83.88,72.57,65.85,72.73,74.84,-0.54,1.42,1.88,1.76,1.06,2.52,-1.50,0.15,-2.10,0.70"
"20150725,70.00,70.20,76.01,81.80,70.47,84.01,72.17,67.49,72.11,74.78,0.28,-0.10,0.23,2.15,0.59,2.31,-2.14,0.97,-3.27,0.26"
"20150801,72.84,72.37,77.82,81.31,69.13,83.75,73.32,67.52,75.01,75.43,3.18,2.21,2.04,1.66,-0.89,1.83,-0.80,0.80,-0.33,0.88"
"20150808,68.23,67.50,74.36,80.37,68.73,83.98,73.49,68.10,73.42,74.21,-1.03,-2.19,-1.17,0.91,-0.92,2.06,-0.04,1.70,-1.38,-0.02"
"20150815,68.66,71.57,74.05,79.03,73.27,83.17,74.34,70.37,74.12,75.34,0.11,2.72,-0.89,-0.03,4.56,1.63,1.65,4.69,0.11,1.79"
"20150822,73.20,66.68,72.55,79.52,62.16,78.92,73.46,66.18,75.94,72.26,5.71,-0.94,-1.42,1.09,-5.06,-1.81,1.88,1.57,2.95,-0.24"
"20150829,66.64,60.81,67.65,76.82,66.04,78.25,72.24,68.04,75.91,71.06,0.52,-5.21,-5.00,-0.76,0.87,-1.23,2.01,4.86,4.13,-0.04"
"20150905,71.25,72.60,77.06,78.68,69.17,80.76,70.73,57.87,69.12,72.78,6.84,8.55,6.10,2.19,6.58,2.93,2.08,-3.54,-1.23,3.44"
"20150912,70.40,64.47,72.93,77.50,60.37,79.59,69.40,61.98,72.33,70.36,7.98,2.64,3.95,2.38,0.54,3.67,2.60,2.56,3.63,3.01"
"20150919,65.42,64.60,66.88,70.77,60.37,76.64,66.92,55.74,66.05,66.82,5.27,5.20,0.12,-2.66,3.31,2.79,2.21,-1.53,-0.77,1.66"
"20150926,58.92,62.81,65.99,71.95,62.76,75.24,66.68,60.41,71.37,67.23,1.29,6.03,1.72,0.50,8.46,3.61,4.33,5.46,6.67,4.46"
"20151003,56.38,55.09,62.25,70.71,56.59,70.95,66.97,57.26,66.99,63.55,1.54,1.14,0.71,1.55,5.05,1.71,7.22,4.78,4.62,3.34"
"20151010,52.81,52.84,62.51,68.08,54.47,68.61,59.11,58.44,64.31,60.90,0.81,1.83,3.77,1.32,5.75,1.83,2.10,8.53,4.44,3.35"
"20151017,50.92,50.37,56.52,65.16,52.35,69.65,62.35,57.08,67.35,60.16,1.55,2.35,0.45,0.67,6.57,5.33,8.09,9.75,10.00,5.26"
"20151024,45.15,50.80,57.47,61.04,49.74,66.70,54.39,50.51,57.60,56.05,-1.82,5.82,3.92,-1.33,7.03,4.82,2.89,5.77,2.83,3.79"
"20151031,45.65,44.18,51.72,64.54,42.58,60.51,50.68,47.66,57.18,52.20,0.85,2.28,0.54,4.13,3.08,1.05,1.95,5.52,5.05,2.55"
"20151107,52.48,50.18,58.18,69.07,42.15,63.03,46.63,40.91,48.30,52.72,9.70,11.41,9.30,10.52,5.95,5.99,0.65,1.34,-1.21,5.67"
"20151114,44.11,42.12,47.37,58.92,39.01,56.51,42.13,39.29,44.46,46.61,3.54,6.59,0.93,2.27,6.04,1.92,-1.17,2.20,-2.55,2.17"
"20151121,42.56,40.09,48.50,59.23,33.23,55.12,40.49,36.34,45.77,44.98,4.44,7.92,4.71,4.55,3.39,3.02,-0.22,1.57,1.09,3.15"
"20151128,37.71,29.93,43.14,53.27,25.25,50.09,38.38,28.29,40.25,39.06,2.27,1.24,2.23,0.65,-1.56,0.53,0.15,-4.29,-2.28,-0.14"
"20151205,36.00,31.46,40.78,56.12,26.58,45.98,34.14,28.08,39.37,37.86,3.47,6.33,2.93,5.60,2.66,-1.05,-1.72,-2.49,-1.21,1.25"
"20151212,39.75,37.65,47.29,55.81,37.08,55.31,41.71,39.42,45.74,45.20,9.97,15.70,12.17,7.17,15.53,10.44,7.77,10.42,6.70,10.80"
"20151219,42.09,31.56,44.72,57.60,23.17,47.76,30.19,31.00,37.17,38.08,14.68,12.17,11.74,10.45,3.27,4.48,-2.49,2.92,-0.89,5.29"
"20151226,42.61,30.44,47.92,61.77,21.99,55.08,33.71,28.29,37.24,40.22,17.21,13.00,16.49,15.73,3.02,12.78,1.67,0.49,-0.38,8.47"
"20160102,33.54,21.44,39.19,61.49,13.96,40.26,23.84,19.58,29.72,31.18,9.77,5.32,8.72,16.18,-4.82,-1.63,-8.21,-8.55,-8.02,-0.12"
"20160109,24.04,23.96,34.14,44.90,19.87,42.51,31.87,29.34,37.80,32.69,1.47,8.60,4.12,-0.03,0.79,0.57,-0.63,0.48,-0.42,1.38"
"20160116,26.88,9.61,28.93,45.24,19.52,42.10,29.41,30.23,38.71,30.82,5.01,-5.45,-1.02,0.36,0.03,-0.12,-3.63,0.72,-0.04,-0.70"
"20160123,19.01,9.26,19.53,38.76,21.28,39.38,36.18,35.53,43.68,30.32,-2.69,-5.97,-10.69,-6.38,1.32,-3.34,2.56,5.44,4.41,-1.61"
"20160130,26.88,26.41,34.55,45.30,31.39,47.45,36.58,34.47,42.65,37.38,4.82,10.55,3.69,-0.43,10.91,4.01,2.32,3.91,2.85,4.87"
"20160206,36.16,25.18,40.95,53.32,25.34,46.73,28.71,30.39,36.12,36.18,13.26,8.25,9.11,6.71,4.23,2.37,-6.25,-0.59,-4.23,2.88"
"20160213,20.58,13.56,25.90,40.53,30.61,46.93,41.63,38.89,49.37,36.02,-3.49,-4.87,-7.27,-7.18,8.49,1.39,5.74,7.25,8.29,1.66"
"20160220,22.43,25.03,37.35,47.45,37.71,56.49,47.26,41.54,49.51,42.87,-3.04,4.67,2.53,-1.53,14.09,9.50,10.17,8.91,7.50,7.13"
"20160227,32.32,31.18,40.87,53.53,34.29,50.87,42.43,38.57,49.79,42.45,5.21,8.48,4.06,3.10,8.68,2.17,3.85,4.59,6.64,5.01"
"20160305,29.96,25.40,40.47,51.66,36.62,56.68,49.60,42.96,53.63,44.77,1.20,0.32,1.66,-0.17,8.90,6.28,9.51,7.58,9.33,5.61"
"20160312,43.46,44.47,53.95,61.98,44.00,60.41,46.52,41.29,47.59,50.31,12.64,16.54,12.80,8.55,13.81,8.08,4.72,4.35,2.01,9.17"
"20160319,41.91,40.82,53.45,66.14,36.16,60.05,46.02,39.36,51.28,49.08,8.73,9.86,9.90,11.10,3.50,5.79,2.57,0.99,4.52,5.93"
"20160326,37.97,34.74,47.43,57.08,36.45,53.99,46.03,41.65,50.31,45.84,2.19,0.63,1.44,0.45,1.35,-2.14,1.00,2.02,2.50,0.71"
"20160402,45.34,39.92,51.14,63.70,40.00,58.35,43.56,45.13,48.99,48.94,6.71,2.54,2.70,5.49,2.51,0.42,-2.98,4.40,0.24,1.86"
"20160409,32.77,32.58,45.80,57.97,46.02,61.13,53.59,51.88,58.25,50.71,-8.82,-8.10,-5.07,-1.82,6.16,1.40,5.56,10.10,8.53,1.68"
"20160416,41.58,45.28,52.13,59.24,46.21,63.06,51.06,48.55,53.64,52.43,-2.82,1.50,-1.07,-2.19,4.00,1.49,1.36,5.51,2.70,1.42"
"20160423,53.27,53.35,62.14,65.55,48.17,64.96,52.65,55.50,58.70,57.37,6.23,6.67,6.74,2.44,3.61,1.49,1.09,10.97,6.23,4.32"
"20160430,45.88,46.55,61.61,70.00,42.46,68.30,49.37,47.25,51.22,54.66,-3.62,-2.82,4.13,5.13,-4.44,2.87,-4.24,1.00,-3.06,-0.47"
"20160507,50.15,53.45,58.08,66.71,54.76,64.18,55.09,57.46,57.52,58.16,-1.66,1.55,-1.39,0.04,5.53,-3.26,-0.73,9.33,1.17,0.91"
"20160514,54.67,51.63,62.46,70.93,48.55,70.55,57.73,55.16,61.31,59.89,0.58,-2.74,0.96,2.46,-2.96,1.15,-0.33,5.22,2.94,0.54"
"20160521,52.12,53.10,55.53,67.56,53.45,65.48,58.06,52.39,59.62,58.30,-4.24,-3.71,-8.09,-2.69,-0.27,-5.84,-2.21,0.81,-0.67,-3.11"
"20160528,65.69,65.87,69.02,71.67,56.61,74.89,58.69,51.77,57.56,64.09,7.05,6.64,3.21,-0.35,0.74,1.69,-3.80,-1.29,-4.57,0.67"
"20160604,67.98,64.41,72.91,77.45,59.71,73.80,65.82,61.14,70.59,68.28,7.09,2.81,4.83,3.67,1.75,-1.20,1.14,6.72,6.72,2.87"
"20160611,61.92,65.45,71.02,76.67,68.31,77.51,72.69,65.44,71.64,71.18,-1.08,1.65,0.85,1.31,8.30,0.87,5.92,9.59,6.01,3.90"
"20160618,63.67,68.49,76.78,79.78,66.55,82.39,69.75,53.60,64.15,71.03,-1.16,2.81,4.87,3.10,4.53,4.35,1.08,-3.92,-3.31,2.03"
"20160625,67.91,69.97,77.40,78.29,68.37,82.40,76.88,60.40,75.66,74.20,1.52,2.74,4.11,0.55,4.36,3.22,6.51,0.95,6.28,3.64"
"20160702,69.07,65.65,73.29,79.54,67.31,81.19,73.15,68.72,76.77,73.47,1.40,-2.82,-1.00,1.04,1.37,1.15,1.26,7.09,5.38,1.51"
"20160709,70.07,69.35,75.20,82.30,68.88,84.24,75.05,63.04,72.76,74.57,1.41,-0.05,0.21,3.26,1.18,3.53,1.94,-0.73,-0.50,1.44"
"20160716,72.13,69.59,76.61,81.17,66.16,83.58,75.38,61.47,72.28,74.07,2.80,-0.41,1.14,1.76,-2.81,2.35,1.46,-3.89,-2.28,0.11"
"20160723,72.26,73.91,79.40,81.50,74.05,85.11,77.15,66.02,74.65,77.11,2.58,3.63,3.66,1.88,4.30,3.50,2.86,-0.33,-0.64,2.67"
"20160730,74.13,71.27,78.78,83.13,70.59,82.71,77.22,72.33,79.92,77.11,4.42,1.04,2.98,3.47,0.55,0.84,3.00,5.60,4.51,2.52"
"20160806,72.28,71.19,77.69,81.43,70.08,84.17,73.82,67.38,76.23,75.69,2.88,1.34,2.06,1.89,0.28,2.21,0.09,0.84,1.25,1.33"
"20160813,73.64,70.85,78.34,81.06,68.91,83.16,73.55,65.60,74.06,75.03,4.85,1.73,3.20,1.86,-0.12,1.47,0.60,-0.32,-0.19,1.25"
"20160820,73.36,69.77,75.91,82.15,67.39,78.02,72.34,72.34,77.44,74.26,5.53,1.76,1.62,3.51,-0.32,-2.98,0.42,7.39,4.14,1.42"
"20160827,70.71,66.18,74.74,80.99,63.79,78.85,68.40,66.07,72.99,71.69,4.17,-0.33,1.68,3.14,-2.02,-1.03,-2.25,2.45,0.84,0.15"
"20160903,69.06,66.95,74.96,79.57,68.44,78.48,70.14,64.26,72.86,72.28,4.13,2.30,3.48,2.74,5.07,0.15,1.02,2.31,2.08,2.40"
"20160910,71.59,67.72,76.27,79.33,60.02,79.92,68.79,58.20,69.14,70.55,8.58,5.24,6.70,3.79,-0.60,3.45,1.43,-1.80,-0.06,2.62"
"20160917,65.06,62.53,72.30,79.14,56.73,77.05,65.63,57.83,65.64,67.46,4.23,2.41,4.88,5.19,-1.12,2.59,0.30,-0.06,-1.74,1.66"
"20160924,67.01,65.30,74.70,78.82,60.21,79.72,65.41,56.05,65.91,68.91,8.63,7.75,9.69,6.77,5.12,7.44,2.36,0.42,0.58,5.44"
"20161001,57.56,58.18,65.42,75.48,58.77,70.42,62.52,60.71,67.90,64.65,1.90,3.40,3.07,5.64,6.44,0.48,2.00,7.52,4.85,3.69"
"20161008,60.25,57.73,66.78,73.48,49.72,71.95,57.38,49.90,56.99,61.01,7.46,5.88,7.25,6.05,0.18,4.46,-0.42,-0.75,-3.60,2.70"
"20161015,53.24,52.56,61.44,69.31,49.47,69.43,61.21,50.01,61.81,59.67,3.15,3.68,4.63,4.19,2.83,4.41,6.17,1.94,3.73,4.01"
"20161022,58.38,52.44,64.16,71.04,48.69,70.10,57.44,46.90,56.98,59.20,10.75,6.58,9.91,8.08,5.09,7.52,5.15,1.42,1.46,6.18"
"20161029,43.05,46.43,56.86,63.14,49.55,67.70,59.47,49.16,58.42,56.53,-2.35,3.65,5.02,2.18,9.12,7.55,9.95,6.27,5.53,6.14"
"20161105,46.90,50.06,61.15,66.83,48.71,68.02,54.05,46.79,53.65,56.42,3.54,10.39,11.60,7.76,11.56,10.29,7.29,6.49,3.40,8.63"